Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
20,1,0,1.0,0.0004690408706665039
20,1,2,0.98,0.0014343023300170898
20,1,4,1.0,0.0032250452041625976
20,1,6,0.98,0.00651979923248291
20,1,8,0.92,0.008713555335998536
20,1,10,0.98,0.01480288028717041
20,1,12,1.0,0.021820807456970216
20,1,14,0.98,0.038104887008666995
20,1,16,0.96,0.0465867280960083
20,1,18,0.98,0.0649169397354126
20,1,20,0.88,0.08584956169128417
20,6,0,0.98,0.0007398366928100586
20,6,2,0.98,0.0015222883224487304
20,6,4,0.94,0.0029905033111572265
20,6,6,0.92,0.005901188850402832
20,6,8,0.96,0.00988184928894043
20,6,10,0.92,0.015103883743286133
20,6,12,0.94,0.0206614351272583
20,6,14,0.84,0.031239895820617675
20,6,16,0.92,0.044936394691467284
20,6,18,0.84,0.05946712017059326
20,6,20,0.88,0.08033935070037841
20,11,0,0.92,0.0006802654266357421
20,11,2,0.96,0.0015764141082763672
20,11,4,0.94,0.003433513641357422
20,11,6,0.88,0.00580817699432373
20,11,8,0.94,0.010354909896850586
20,11,10,0.88,0.01548938751220703
20,11,12,0.86,0.02311436653137207
20,11,14,0.96,0.03287773132324219
20,11,16,0.78,0.04401515960693359
20,11,18,0.76,0.05757280349731445
20,11,20,0.6,0.0792857027053833
20,16,0,0.94,0.0006644201278686524
20,16,2,0.98,0.0016800498962402345
20,16,4,0.9,0.0034471559524536133
20,16,6,0.9,0.006612324714660644
20,16,8,0.7,0.009099087715148925
20,16,10,0.84,0.0152197265625
20,16,12,0.74,0.021067194938659668
20,16,14,0.7,0.03260893821716308
20,16,16,0.68,0.044866843223571776
20,16,18,0.72,0.06368201255798339
20,16,20,0.64,0.08289107322692871
20,21,0,0.84,0.0007740211486816406
20,21,2,0.86,0.001742715835571289
20,21,4,0.82,0.003643345832824707
20,21,6,0.78,0.005946674346923828
20,21,8,0.8,0.009429211616516114
20,21,10,0.68,0.013710956573486328
20,21,12,0.58,0.020031166076660157
20,21,14,0.46,0.03007087707519531
20,21,16,0.62,0.042587199211120606
20,21,18,0.48,0.054510760307312014
20,21,20,0.48,0.07425183296203614
20,26,0,0.76,0.000884852409362793
20,26,2,0.58,0.0015752267837524413
20,26,4,0.7,0.0037112903594970705
20,26,6,0.72,0.006163182258605957
20,26,8,0.56,0.00967008113861084
20,26,10,0.56,0.014866461753845215
20,26,12,0.5,0.021970081329345702
20,26,14,0.48,0.027727885246276854
20,26,16,0.52,0.033559713363647464
20,26,18,0.28,0.05467385292053223
20,26,20,0.46,0.05789153575897217
20,31,0,0.62,0.0007693195343017579
20,31,2,0.58,0.001647782325744629
20,31,4,0.5,0.002891860008239746
20,31,6,0.54,0.005343141555786132
20,31,8,0.32,0.007622051239013672
20,31,10,0.44,0.012623834609985351
20,31,12,0.46,0.01754286289215088
20,31,14,0.4,0.02355958938598633
20,31,16,0.38,0.036990394592285154
20,31,18,0.36,0.03295789241790772
20,31,20,0.28,0.06523002624511719
20,36,0,0.52,0.0008250713348388672
20,36,2,0.36,0.0012883663177490235
20,36,4,0.44,0.002617053985595703
20,36,6,0.42,0.00491365909576416
20,36,8,0.34,0.007665982246398926
20,36,10,0.46,0.012796344757080079
20,36,12,0.24,0.012981572151184083
20,36,14,0.32,0.02362635612487793
20,36,16,0.22,0.024265279769897462
20,36,18,0.2,0.030846867561340332
20,36,20,0.12,0.039679493904113766
20,41,0,0.36,0.0009424829483032226
20,41,2,0.28,0.001367802619934082
20,41,4,0.32,0.0025579452514648436
20,41,6,0.38,0.004443521499633789
20,41,8,0.3,0.006913609504699707
20,41,10,0.2,0.008921246528625488
20,41,12,0.32,0.016207690238952636
20,41,14,0.14,0.015896215438842773
20,41,16,0.3,0.02527313232421875
20,41,18,0.12,0.031089324951171875
20,41,20,0.2,0.05063483715057373
20,46,0,0.22,0.000855097770690918
20,46,2,0.3,0.0013700008392333984
20,46,4,0.3,0.0023002529144287107
20,46,6,0.24,0.00365478515625
20,46,8,0.16,0.005530204772949219
20,46,10,0.1,0.00581932544708252
20,46,12,0.14,0.010487246513366699
20,46,14,0.06,0.007327408790588379
20,46,16,0.16,0.017021093368530273
20,46,18,0.18,0.022758474349975587
20,46,20,0.18,0.03402738094329834
20,51,0,0.2,0.0009784412384033203
20,51,2,0.18,0.001193876266479492
20,51,4,0.12,0.002039966583251953
20,51,6,0.16,0.003057565689086914
20,51,8,0.2,0.005215640068054199
20,51,10,0.1,0.0031674861907958984
20,51,12,0.02,0.004983968734741211
20,51,14,0.1,0.008353867530822755
20,51,16,0.06,0.011003994941711425
20,51,18,0.14,0.024864754676818847
20,51,20,0.08,0.03389333248138428
20,56,0,0.22,0.0010492563247680663
20,56,2,0.14,0.0012396764755249023
20,56,4,0.1,0.0017352771759033203
20,56,6,0.18,0.0025286483764648438
20,56,8,0.08,0.002889819145202637
20,56,10,0.14,0.003993515968322754
20,56,12,0.08,0.006124391555786133
20,56,14,0.06,0.008225159645080566
20,56,16,0.04,0.008250651359558105
20,56,18,0.04,0.008383541107177735
20,56,20,0.08,0.021927309036254884
20,61,0,0.08,0.0009987974166870118
20,61,2,0.14,0.0012038516998291015
20,61,4,0.1,0.0015121364593505859
20,61,6,0.08,0.0025886201858520506
20,61,8,0.04,0.002531147003173828
20,61,10,0.06,0.0049543285369873045
20,61,12,0.02,0.005853438377380371
20,61,14,0.04,0.006878852844238281
20,61,16,0.06,0.01175133228302002
20,61,18,0.06,0.01013436794281006
20,61,20,0.02,0.012160511016845703
20,66,0,0.1,0.0010260343551635742
20,66,2,0.04,0.0010689783096313476
20,66,4,0.1,0.0016294622421264649
20,66,6,0.06,0.0016353702545166015
20,66,8,0.04,0.0021796464920043946
20,66,10,0.08,0.0038965463638305662
20,66,12,0.08,0.004651241302490235
20,66,14,0.02,0.005646128654479981
20,66,16,0.02,0.00885899543762207
20,66,18,0.06,0.01154146671295166
20,66,20,0.0,0.005576791763305664
20,71,0,0.12,0.0011642932891845702
20,71,2,0.06,0.001172037124633789
20,71,4,0.02,0.0013521671295166015
20,71,6,0.02,0.001678333282470703
20,71,8,0.04,0.00235260009765625
20,71,10,0.02,0.0018804359436035156
20,71,12,0.02,0.0029530954360961915
20,71,14,0.02,0.004805002212524414
20,71,16,0.02,0.008494882583618165
20,71,18,0.06,0.011119160652160644
20,71,20,0.0,0.0035880136489868163
20,76,0,0.06,0.001115565299987793
20,76,2,0.08,0.0012778139114379883
20,76,4,0.04,0.0014008235931396483
20,76,6,0.02,0.001769580841064453
20,76,8,0.08,0.0024822568893432618
20,76,10,0.0,0.0025777816772460938
20,76,12,0.02,0.0056804466247558595
20,76,14,0.02,0.0034659862518310546
20,76,16,0.02,0.0075141811370849606
20,76,18,0.0,0.006087088584899902
20,76,20,0.02,0.003190770149230957
