Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
40,0.025,10,0.998,0.030377413272857666
40,0.05,10,0.996,0.029161633491516112
40,0.075,10,0.99,0.03154619979858399
40,0.1,10,0.992,0.03451884746551514
40,0.125,10,0.998,0.0321538028717041
40,0.15,10,0.992,0.031944859981536865
40,0.175,10,0.988,0.0312105016708374
40,0.2,10,0.982,0.029675851821899413
40,0.225,10,0.982,0.0314689998626709
40,0.25,10,0.976,0.03161353588104248
40,0.275,10,0.986,0.030686268806457518
40,0.3,10,0.97,0.027657767295837403
40,0.325,10,0.968,0.030559967041015625
40,0.35,10,0.97,0.029666765689849852
40,0.375,10,0.964,0.030764665603637695
40,0.4,10,0.964,0.032351062297821045
40,0.425,10,0.97,0.029754595756530763
40,0.45,10,0.956,0.03182734155654907
40,0.475,10,0.966,0.0327237286567688
40,0.5,10,0.956,0.030578017711639403
40,0.525,10,0.934,0.03633323478698731
40,0.55,10,0.938,0.03144236993789673
40,0.575,10,0.948,0.030597801208496093
40,0.6,10,0.946,0.030383549213409425
40,0.625,10,0.926,0.03159505271911621
40,0.65,10,0.93,0.03370239686965942
40,0.675,10,0.918,0.031078328609466552
40,0.7,10,0.902,0.030488030910491945
40,0.725,10,0.91,0.0321766242980957
40,0.75,10,0.908,0.03169121980667114
40,0.775,10,0.898,0.030674917221069336
40,0.8,10,0.928,0.03347971105575562
40,0.825,10,0.874,0.03336254501342773
40,0.85,10,0.92,0.0346953353881836
40,0.875,10,0.898,0.033033764362335204
40,0.9,10,0.854,0.03166767501831055
40,0.925,10,0.86,0.03234509229660034
40,0.95,10,0.84,0.031185659885406496
40,0.975,10,0.826,0.03577734613418579
40,1.0,10,0.816,0.03416065216064453
40,1.025,10,0.804,0.03062804651260376
40,1.05,10,0.814,0.030867865085601808
40,1.075,10,0.774,0.03248206424713135
40,1.1,10,0.762,0.0312525839805603
40,1.125,10,0.796,0.031138710975646973
40,1.15,10,0.764,0.03355978536605835
40,1.175,10,0.734,0.03013964033126831
40,1.2,10,0.75,0.03153273963928223
40,1.225,10,0.716,0.032642697811126706
40,1.25,10,0.668,0.03052662754058838
40,1.275,10,0.68,0.029050105094909667
40,1.3,10,0.702,0.030712626457214356
40,1.325,10,0.616,0.02785454320907593
40,1.35,10,0.656,0.030683778285980224
40,1.375,10,0.64,0.04117286968231201
40,1.4,10,0.608,0.042830642223358154
40,1.425,10,0.562,0.03606463575363159
40,1.45,10,0.59,0.04365692853927612
40,1.475,10,0.57,0.04476122283935547
40,1.5,10,0.564,0.04631123304367066
40,1.525,10,0.506,0.041279212951660156
40,1.55,10,0.534,0.03833343982696533
40,1.575,10,0.494,0.03128233242034912
40,1.6,10,0.482,0.03652669143676758
40,1.625,10,0.438,0.03193687915802002
40,1.65,10,0.476,0.038506670475006104
40,1.675,10,0.464,0.03208906602859497
40,1.7,10,0.464,0.031080430030822753
40,1.725,10,0.432,0.0283753023147583
40,1.75,10,0.398,0.029310574531555177
40,1.775,10,0.346,0.025542585849761962
40,1.8,10,0.372,0.028293428897857666
40,1.825,10,0.356,0.0265678653717041
40,1.85,10,0.344,0.029703389167785643
40,1.875,10,0.412,0.03007178211212158
40,1.9,10,0.326,0.029164628982543947
40,1.925,10,0.352,0.025064860343933106
40,1.95,10,0.314,0.02470025300979614
40,1.975,10,0.312,0.02416456890106201
40,2.0,10,0.324,0.026757914066314697
