Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
60,0.016666666666666666,4,0.048,0.009947765588760376
60,0.03333333333333333,4,0.051,0.008754225969314576
60,0.05,4,0.031,0.008654711246490478
60,0.06666666666666667,4,0.035,0.009726619243621826
60,0.08333333333333333,4,0.04,0.009618332624435426
60,0.1,4,0.034,0.009618627786636353
60,0.11666666666666667,4,0.036,0.009746148109436035
60,0.13333333333333333,4,0.047,0.009836920976638793
60,0.15,4,0.026,0.00983817744255066
60,0.16666666666666666,4,0.049,0.009969834089279175
60,0.18333333333333332,4,0.039,0.010060923099517822
60,0.2,4,0.049,0.010069249153137207
60,0.21666666666666667,4,0.042,0.01031549572944641
60,0.23333333333333334,4,0.032,0.010338582038879395
60,0.25,4,0.032,0.010492110013961792
60,0.26666666666666666,4,0.029,0.01252530026435852
60,0.2833333333333333,4,0.041,0.01105984926223755
60,0.3,4,0.046,0.012957287073135376
60,0.31666666666666665,4,0.032,0.011291908264160157
60,0.3333333333333333,4,0.038,0.012761476516723633
60,0.35,4,0.039,0.011563873291015625
60,0.36666666666666664,4,0.041,0.009537738800048828
60,0.38333333333333336,4,0.027,0.012315900087356568
60,0.4,4,0.031,0.011983773469924927
60,0.4166666666666667,4,0.036,0.013741320371627808
60,0.43333333333333335,4,0.042,0.01918514847755432
60,0.45,4,0.041,0.01243187379837036
60,0.4666666666666667,4,0.033,0.012608352422714233
60,0.48333333333333334,4,0.04,0.012259265184402466
60,0.5,4,0.035,0.014142709255218506
60,0.5166666666666667,4,0.046,0.017101515293121337
60,0.5333333333333333,4,0.034,0.012828931331634522
60,0.55,4,0.039,0.01278721857070923
60,0.5666666666666667,4,0.041,0.012792531728744507
60,0.5833333333333334,4,0.03,0.012561300039291382
60,0.6,4,0.043,0.013129713535308838
60,0.6166666666666667,4,0.034,0.014153567790985108
60,0.6333333333333333,4,0.037,0.013728682994842529
60,0.65,4,0.024,0.013163261175155639
60,0.6666666666666666,4,0.031,0.0134314546585083
60,0.6833333333333333,4,0.034,0.0136999249458313
60,0.7,4,0.044,0.013785333395004273
60,0.7166666666666667,4,0.024,0.013318670749664306
60,0.7333333333333333,4,0.043,0.013460896968841552
60,0.75,4,0.03,0.013624244451522827
60,0.7666666666666667,4,0.037,0.01449945878982544
60,0.7833333333333333,4,0.045,0.013611401796340943
60,0.8,4,0.03,0.014220548391342163
60,0.8166666666666667,4,0.036,0.013627513170242309
60,0.8333333333333334,4,0.044,0.014006583452224731
60,0.85,4,0.044,0.013787384033203126
60,0.8666666666666667,4,0.051,0.013908849716186524
60,0.8833333333333333,4,0.031,0.013884651660919189
60,0.9,4,0.032,0.013650092124938965
60,0.9166666666666666,4,0.03,0.01402465295791626
60,0.9333333333333333,4,0.036,0.013799692153930664
60,0.95,4,0.038,0.017266110420227052
60,0.9666666666666667,4,0.036,0.017050395250320434
60,0.9833333333333333,4,0.049,0.016147278547286988
60,1.0,4,0.045,0.012209879636764526
60,1.0166666666666666,4,0.036,0.017313958883285522
60,1.0333333333333334,4,0.03,0.018577322483062743
60,1.05,4,0.028,0.013466534614562988
60,1.0666666666666667,4,0.028,0.025829927444458008
60,1.0833333333333333,4,0.02,0.015056344985961914
60,1.1,4,0.032,0.01662706017494202
60,1.1166666666666667,4,0.04,0.021131118535995485
60,1.1333333333333333,4,0.028,0.01406777787208557
60,1.15,4,0.037,0.015058764457702637
60,1.1666666666666667,4,0.029,0.02007974648475647
60,1.1833333333333333,4,0.026,0.013592730522155762
60,1.2,4,0.036,0.013519656419754028
60,1.2166666666666666,4,0.022,0.014903294324874878
60,1.2333333333333334,4,0.024,0.01305145812034607
60,1.25,4,0.022,0.01344155240058899
60,1.2666666666666666,4,0.03,0.013647693157196045
60,1.2833333333333334,4,0.027,0.01298148274421692
60,1.3,4,0.037,0.01250103735923767
60,1.3166666666666667,4,0.027,0.013157501220703124
60,1.3333333333333333,4,0.025,0.012816370248794555
60,1.35,4,0.021,0.014662209987640382
60,1.3666666666666667,4,0.017,0.016827927350997925
60,1.3833333333333333,4,0.016,0.011094868183135986
60,1.4,4,0.026,0.010856037616729736
60,1.4166666666666667,4,0.027,0.010026437520980836
60,1.4333333333333333,4,0.025,0.010207122087478638
60,1.45,4,0.026,0.010766268730163574
60,1.4666666666666666,4,0.026,0.008270095348358155
60,1.4833333333333334,4,0.019,0.008723343849182129
60,1.5,4,0.026,0.008472925424575806
60,1.5166666666666666,4,0.021,0.008547868967056274
60,1.5333333333333334,4,0.022,0.008301339387893677
60,1.55,4,0.018,0.00811230206489563
60,1.5666666666666667,4,0.016,0.008220563888549805
60,1.5833333333333333,4,0.02,0.007550839900970459
60,1.6,4,0.019,0.008222492933273316
60,1.6166666666666667,4,0.02,0.007810014009475708
60,1.6333333333333333,4,0.019,0.0076472327709198
60,1.65,4,0.021,0.007631925821304321
60,1.6666666666666667,4,0.018,0.007891141176223755
60,1.6833333333333333,4,0.012,0.007873823404312134
60,1.7,4,0.011,0.007627813816070556
60,1.7166666666666666,4,0.021,0.007704150676727295
60,1.7333333333333334,4,0.02,0.007469508171081543
60,1.75,4,0.019,0.007643170356750488
60,1.7666666666666666,4,0.014,0.007358931303024292
60,1.7833333333333334,4,0.013,0.007123428344726563
60,1.8,4,0.01,0.0070350017547607425
60,1.8166666666666667,4,0.016,0.0067882084846496585
60,1.8333333333333333,4,0.014,0.00696871304512024
60,1.85,4,0.009,0.006927500009536743
60,1.8666666666666667,4,0.007,0.007070249080657959
60,1.8833333333333333,4,0.007,0.00663327956199646
60,1.9,4,0.012,0.006981374979019165
60,1.9166666666666667,4,0.013,0.006592681407928467
60,1.9333333333333333,4,0.007,0.0068136115074157715
60,1.95,4,0.007,0.006777729034423828
60,1.9666666666666666,4,0.011,0.006614260911941529
60,1.9833333333333334,4,0.009,0.006581963300704956
60,2.0,4,0.01,0.006211333990097046
60,2.0166666666666666,4,0.011,0.006509529113769531
60,2.033333333333333,4,0.006,0.00612596845626831
60,2.05,4,0.007,0.006262268304824829
60,2.066666666666667,4,0.009,0.006432960987091065
60,2.0833333333333335,4,0.005,0.006215864181518554
60,2.1,4,0.006,0.005974633455276489
60,2.1166666666666667,4,0.012,0.0063050477504730225
60,2.1333333333333333,4,0.007,0.00629166316986084
60,2.15,4,0.01,0.00599153733253479
60,2.1666666666666665,4,0.006,0.006085221529006958
60,2.183333333333333,4,0.012,0.005896693229675293
60,2.2,4,0.007,0.006079980850219727
60,2.216666666666667,4,0.006,0.006094672203063965
60,2.2333333333333334,4,0.004,0.005815773487091064
60,2.25,4,0.012,0.0061552469730377195
60,2.2666666666666666,4,0.008,0.005867626190185547
60,2.283333333333333,4,0.003,0.0060486958026885985
60,2.3,4,0.005,0.005774551391601562
60,2.316666666666667,4,0.006,0.005882384777069091
60,2.3333333333333335,4,0.005,0.0057958257198333744
60,2.35,4,0.003,0.005627022981643677
60,2.3666666666666667,4,0.003,0.0059442145824432375
60,2.3833333333333333,4,0.005,0.005695507287979126
60,2.4,4,0.006,0.005786340236663818
60,2.4166666666666665,4,0.006,0.0057711548805236814
60,2.433333333333333,4,0.007,0.005731766223907471
60,2.45,4,0.006,0.005694582223892212
60,2.466666666666667,4,0.004,0.006102707386016846
60,2.4833333333333334,4,0.006,0.00579362678527832
60,2.5,4,0.001,0.006010089874267578
60,2.5166666666666666,4,0.004,0.005635384798049927
60,2.533333333333333,4,0.004,0.006091490745544433
60,2.55,4,0.003,0.0057472772598266605
60,2.566666666666667,4,0.003,0.005539483785629272
60,2.5833333333333335,4,0.003,0.0057612724304199215
60,2.6,4,0.002,0.005770479917526245
60,2.6166666666666667,4,0.005,0.005784453392028809
60,2.6333333333333333,4,0.005,0.005686137199401855
60,2.65,4,0.004,0.005538530349731445
60,2.6666666666666665,4,0.004,0.00589488935470581
60,2.683333333333333,4,0.005,0.005621339082717895
60,2.7,4,0.0,0.005559554815292358
60,2.716666666666667,4,0.007,0.005824047088623047
60,2.7333333333333334,4,0.008,0.008804266929626464
60,2.75,4,0.005,0.010142623424530029
60,2.7666666666666666,4,0.005,0.0077445807456970215
60,2.783333333333333,4,0.002,0.008062177419662475
60,2.8,4,0.0,0.007487606287002563
60,2.816666666666667,4,0.002,0.007861330986022949
60,2.8333333333333335,4,0.003,0.007942587852478027
60,2.85,4,0.002,0.007812930107116698
60,2.8666666666666667,4,0.001,0.007721603393554688
60,2.8833333333333333,4,0.001,0.007637325048446655
60,2.9,4,0.003,0.007834806680679322
60,2.9166666666666665,4,0.002,0.007789846181869507
60,2.933333333333333,4,0.002,0.0073419492244720455
60,2.95,4,0.003,0.007437581777572632
60,2.966666666666667,4,0.0,0.007199921131134033
60,2.9833333333333334,4,0.002,0.007481073379516602
60,3.0,4,0.003,0.0074452564716339115
60,3.0166666666666666,4,0.001,0.007690544128417969
60,3.033333333333333,4,0.004,0.007663725137710571
60,3.05,4,0.0,0.007550803899765014
60,3.066666666666667,4,0.001,0.007426933526992798
60,3.0833333333333335,4,0.0,0.008488977670669556
60,3.1,4,0.002,0.007188422679901123
60,3.1166666666666667,4,0.002,0.0058619556427001954
60,3.1333333333333333,4,0.003,0.0056357202529907224
60,3.15,4,0.001,0.005873912572860717
60,3.1666666666666665,4,0.003,0.005682903289794922
60,3.183333333333333,4,0.004,0.005829689979553222
60,3.2,4,0.003,0.006982351303100586
60,3.216666666666667,4,0.001,0.006819966554641723
60,3.2333333333333334,4,0.001,0.006172388792037964
60,3.25,4,0.003,0.005600778818130493
60,3.2666666666666666,4,0.0,0.006043447494506836
60,3.283333333333333,4,0.004,0.006983005046844483
60,3.3,4,0.001,0.006318440437316894
60,3.316666666666667,4,0.003,0.0061101469993591305
