Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
1,60.0,10,1.0,0.01271367073059082
2,30.0,10,1.0,0.00960993766784668
3,20.0,10,1.0,0.013653755187988281
4,15.0,10,1.0,0.015727519989013672
5,12.0,10,1.0,0.015742063522338867
6,10.0,10,1.0,0.015465974807739258
7,8.571428571428571,10,1.0,0.011360645294189453
8,7.5,10,1.0,0.009724140167236328
9,6.666666666666667,10,1.0,0.016041040420532227
10,6.0,10,1.0,0.012396097183227539
11,5.454545454545454,10,1.0,0.019551753997802734
12,5.0,10,1.0,0.014171123504638672
13,4.615384615384615,10,1.0,0.014206409454345703
14,4.285714285714286,10,1.0,0.012692689895629883
15,4.0,10,1.0,0.00992131233215332
16,3.75,10,1.0,0.008791685104370117
17,3.5294117647058822,10,1.0,0.011886835098266602
18,3.3333333333333335,10,1.0,0.016225337982177734
19,3.1578947368421053,10,1.0,0.015295028686523438
20,3.0,10,1.0,0.014586448669433594
21,2.857142857142857,10,1.0,0.02047562599182129
22,2.727272727272727,10,1.0,0.012110471725463867
23,2.608695652173913,10,1.0,0.013919591903686523
24,2.5,10,1.0,0.0156097412109375
25,2.4,10,1.0,0.013446331024169922
26,2.3076923076923075,10,1.0,0.018007516860961914
27,2.2222222222222223,10,1.0,0.015192985534667969
28,2.142857142857143,10,1.0,0.011219501495361328
29,2.0689655172413794,10,1.0,0.013237476348876953
