Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
60,0.18333333333333332,10,1.0,0.03000295639038086
60,0.2,10,1.0,0.03009786605834961
60,0.21666666666666667,10,1.0,0.03151665687561035
60,0.23333333333333334,10,1.0,0.02690972328186035
60,0.25,10,0.96,0.03546675682067871
60,0.26666666666666666,10,1.0,0.03201287269592285
60,0.2833333333333333,10,0.92,0.04281500816345215
60,0.3,10,1.0,0.0351527214050293
60,0.31666666666666665,10,1.0,0.029192914962768556
60,0.3333333333333333,10,0.96,0.03489335060119629
60,0.35,10,0.96,0.02984776496887207
60,0.36666666666666664,10,1.0,0.032007064819335934
60,0.38333333333333336,10,1.0,0.03162009239196777
60,0.4,10,1.0,0.03231182098388672
60,0.4166666666666667,10,1.0,0.03355600357055664
60,0.43333333333333335,10,0.96,0.03246188163757324
60,0.45,10,1.0,0.02965738296508789
60,0.4666666666666667,10,0.96,0.033371286392211916
60,0.48333333333333334,10,0.96,0.03282114028930664
60,0.5,10,1.0,0.03417688369750976
60,0.5166666666666667,10,1.0,0.033775978088378907
60,0.5333333333333333,10,1.0,0.03511013031005859
60,0.55,10,1.0,0.03292851448059082
60,0.5666666666666667,10,1.0,0.036536645889282224
60,0.5833333333333334,10,0.92,0.03065574645996094
60,0.6,10,1.0,0.03562593460083008
60,0.6166666666666667,10,1.0,0.036849536895751954
60,0.6333333333333333,10,0.96,0.03277928352355957
60,0.65,10,0.92,0.03492650032043457
60,0.6666666666666666,10,1.0,0.03640990257263184
60,0.6833333333333333,10,1.0,0.03502341270446777
60,0.7,10,0.92,0.03528806686401367
60,0.7166666666666667,10,0.96,0.03446713447570801
60,0.7333333333333333,10,0.92,0.03428901672363281
60,0.75,10,0.88,0.03321563720703125
60,0.7666666666666667,10,1.0,0.03595189094543457
60,0.7833333333333333,10,1.0,0.035359058380126956
60,0.8,10,1.0,0.04052199363708496
60,0.8166666666666667,10,1.0,0.033608379364013674
60,0.8333333333333334,10,0.96,0.0464495849609375
60,0.85,10,0.92,0.05059016227722168
60,0.8666666666666667,10,0.96,0.04775471687316894
60,0.8833333333333333,10,0.92,0.05260895729064941
60,0.9,10,0.96,0.045203723907470704
60,0.9166666666666666,10,0.92,0.05112974166870117
60,0.9333333333333333,10,0.92,0.043858394622802735
60,0.95,10,0.88,0.04609140396118164
60,0.9666666666666667,10,0.84,0.045730886459350584
60,0.9833333333333333,10,0.92,0.04381206512451172
60,1.0,10,0.92,0.042988672256469726
60,1.0166666666666666,10,0.88,0.04510946273803711
60,1.0333333333333334,10,0.96,0.048711938858032225
60,1.05,10,0.84,0.0440407657623291
60,1.0666666666666667,10,0.8,0.043009252548217775
60,1.0833333333333333,10,0.88,0.04491360664367676
60,1.1,10,0.8,0.042715349197387696
60,1.1166666666666667,10,0.76,0.04078129768371582
60,1.1333333333333333,10,0.8,0.04016096115112305
60,1.15,10,0.68,0.04215006828308106
60,1.1666666666666667,10,0.64,0.036489248275756836
60,1.1833333333333333,10,0.8,0.039330940246582034
60,1.2,10,0.76,0.04536151885986328
60,1.2166666666666666,10,0.72,0.03774578094482422
60,1.2333333333333334,10,0.8,0.039374465942382815
60,1.25,10,0.8,0.04214681625366211
60,1.2666666666666666,10,0.64,0.04137767791748047
60,1.2833333333333334,10,0.72,0.04663162231445313
60,1.3,10,0.52,0.04887515068054199
60,1.3166666666666667,10,0.8,0.03981690406799317
60,1.3333333333333333,10,0.72,0.03569526672363281
60,1.35,10,0.84,0.037851085662841795
60,1.3666666666666667,10,0.8,0.03636617660522461
60,1.3833333333333333,10,0.72,0.03750698089599609
60,1.4,10,0.56,0.033447790145874026
60,1.4166666666666667,10,0.6,0.029591331481933592
60,1.4333333333333333,10,0.56,0.030792236328125
60,1.45,10,0.68,0.03677940368652344
60,1.4666666666666666,10,0.64,0.03384068489074707
60,1.4833333333333334,10,0.68,0.03666647911071777
60,1.5,10,0.72,0.03444253921508789
60,1.5166666666666666,10,0.44,0.025718498229980468
60,1.5333333333333334,10,0.64,0.0399458122253418
60,1.55,10,0.6,0.033749332427978514
60,1.5666666666666667,10,0.52,0.027377071380615233
60,1.5833333333333333,10,0.6,0.03165965080261231
60,1.6,10,0.56,0.027933578491210937
60,1.6166666666666667,10,0.48,0.02833378791809082
60,1.6333333333333333,10,0.44,0.02757852554321289
60,1.65,10,0.48,0.026387805938720702
60,1.6666666666666667,10,0.44,0.02929133415222168
60,1.6833333333333333,10,0.28,0.027210769653320314
60,1.7,10,0.44,0.02970950126647949
60,1.7166666666666666,10,0.48,0.026082096099853517
60,1.7333333333333334,10,0.48,0.0273712158203125
60,1.75,10,0.4,0.02789809226989746
60,1.7666666666666666,10,0.28,0.026886377334594726
60,1.7833333333333334,10,0.28,0.02290323257446289
60,1.8,10,0.44,0.022309885025024415
60,1.8166666666666667,10,0.24,0.01840951919555664
60,1.8333333333333333,10,0.36,0.028315153121948242
60,1.85,10,0.36,0.022492103576660157
60,1.8666666666666667,10,0.28,0.02181159019470215
60,1.8833333333333333,10,0.36,0.026901206970214843
60,1.9,10,0.4,0.02937088966369629
60,1.9166666666666667,10,0.28,0.03489386558532715
60,1.9333333333333333,10,0.16,0.0206866455078125
60,1.95,10,0.12,0.016242246627807617
60,1.9666666666666666,10,0.32,0.021178188323974608
60,1.9833333333333334,10,0.28,0.01974917411804199
60,2.0,10,0.28,0.020076141357421876
60,2.0166666666666666,10,0.4,0.024968395233154295
60,2.033333333333333,10,0.2,0.019901494979858398
60,2.05,10,0.28,0.020055980682373048
60,2.066666666666667,10,0.2,0.023674001693725587
60,2.0833333333333335,10,0.32,0.021634025573730467
60,2.1,10,0.24,0.01923558235168457
60,2.1166666666666667,10,0.28,0.0199945068359375
60,2.1333333333333333,10,0.16,0.02114964485168457
