Concepts count,Axioms count,Probability axioms count,SAT proportion,Time
60,0.016666666666666666,10,1.0,0.009731824398040772
60,0.03333333333333333,10,1.0,0.011002261638641358
60,0.05,10,1.0,0.011291847229003907
60,0.06666666666666667,10,1.0,0.010714569091796876
60,0.08333333333333333,10,1.0,0.011011009216308593
60,0.1,10,0.99,0.010731496810913087
60,0.11666666666666667,10,1.0,0.010731480121612548
60,0.13333333333333333,10,1.0,0.010960378646850587
60,0.15,10,1.0,0.011001038551330566
60,0.16666666666666666,10,1.0,0.010767292976379395
60,0.18333333333333332,10,1.0,0.011181769371032714
60,0.2,10,0.98,0.01157339334487915
60,0.21666666666666667,10,1.0,0.013103573322296143
60,0.23333333333333334,10,0.99,0.013207530975341797
60,0.25,10,1.0,0.013664772510528564
60,0.26666666666666666,10,1.0,0.014252042770385743
60,0.2833333333333333,10,0.97,0.013061585426330567
60,0.3,10,0.99,0.013492050170898438
60,0.31666666666666665,10,1.0,0.01836888790130615
60,0.3333333333333333,10,0.97,0.01865279197692871
60,0.35,10,1.0,0.01705589532852173
60,0.36666666666666664,10,1.0,0.013970494270324707
60,0.38333333333333336,10,1.0,0.01542212963104248
60,0.4,10,0.97,0.013851349353790282
60,0.4166666666666667,10,0.98,0.015568931102752686
60,0.43333333333333335,10,0.99,0.01348435640335083
60,0.45,10,0.98,0.012417023181915282
60,0.4666666666666667,10,0.98,0.013731343746185303
60,0.48333333333333334,10,0.98,0.011916022300720214
60,0.5,10,0.96,0.014405133724212647
60,0.5166666666666667,10,0.98,0.016291182041168212
60,0.5333333333333333,10,0.99,0.019987192153930664
60,0.55,10,0.99,0.017517926692962645
60,0.5666666666666667,10,0.99,0.012730135917663574
60,0.5833333333333334,10,0.96,0.01194880485534668
60,0.6,10,0.92,0.01104300022125244
60,0.6166666666666667,10,0.98,0.01333548069000244
60,0.6333333333333333,10,0.98,0.012495806217193603
60,0.65,10,0.96,0.01235022783279419
60,0.6666666666666666,10,0.92,0.01643683195114136
60,0.6833333333333333,10,0.98,0.01706334114074707
60,0.7,10,0.96,0.010209035873413087
60,0.7166666666666667,10,0.96,0.012345123291015624
60,0.7333333333333333,10,0.94,0.014510271549224853
60,0.75,10,0.93,0.01992433547973633
60,0.7666666666666667,10,0.9,0.013122010231018066
60,0.7833333333333333,10,0.88,0.01261608362197876
60,0.8,10,0.94,0.01406348705291748
60,0.8166666666666667,10,0.94,0.01710476875305176
60,0.8333333333333334,10,0.94,0.014520578384399414
60,0.85,10,0.93,0.012681643962860107
60,0.8666666666666667,10,0.93,0.01374868631362915
60,0.8833333333333333,10,0.88,0.012273590564727783
60,0.9,10,0.88,0.0131168794631958
